 A1         39.3766       -115.8206      1811.66         35.32             39.66
 A2         39.4179       -115.8125      1822.76         31.22             41.69
 A3         39.4574       -115.8003      1819.37         27.44             44.20
 A4         39.5036       -115.7845      1806.17         23.06             47.21
 A5         39.5479       -115.7704      1823.36         18.82             49.69
 A7         39.6401       -115.7789      1803.90         8.93              52.65
 A8         39.6810       -115.7779      1789.83         4.68              54.11
 A9         39.7272       -115.7679      1782.02         0.14              56.55
 A10        39.7488       -115.7733      1800.86         2.29              57.03
 A11        39.7755       -115.7652      1802.71         4.86              58.49
 A12        39.8155       -115.7511      1822.06         8.64              61.37
 A13        39.8635       -115.7320      1835.08         13.12             64.69
 A14        39.9170       -115.7385      1904.63         18.90             66.11
 A15        39.9647       -115.7465      1841.38         24.13             67.06
 A17        40.0523       -115.7785      1807.32         34.21             67.99
 A18        40.0989       -115.7832      1767.66         39.22             69.39
 A19        40.1440       -115.7541      1729.97         43.12             72.64
 A20        40.1909       -115.7434      1715.78         47.72             75.39
 A21        40.2318       -115.7069      1769.82         50.97             79.92
 A22        40.2694       -115.6817      1788.47         54.19             83.48
 T1         39.5414       -116.3802      1868.12         1.86              0.00
 T2         39.5503       -116.3368      1856.71         2.20              3.83
 T4         39.6023       -116.1448      1835.73         2.34              21.53
 T7         39.7132       -115.7629      1781.81         1.73              56.55
 T8         39.7437       -115.6735      1828.43         1.09              64.69
 T10        40.0476       -114.6406      1821.23         2.01              159.36
 T11        40.0636       -114.5855      1898.51         2.18              164.36
 T13        40.0993       -114.5496      1859.82         4.97              168.37
 T14        40.1821       -114.0128      1602.72         0.71              214.87
 C1         39.9284       -113.9995      1760.33         27.83             207.44
 C2         39.9713       -113.9775      1714.80         23.89             210.39
 C3         40.0161       -113.9731      1635.32         19.27             212.28
 C4         40.0611       -113.9766      1642.66         14.43             213.36
 C5         40.1052       -113.9701      1582.69         9.95              215.61
 C6         40.1518       -113.9839      1579.06         4.67              216.20
 C7         40.1738       -113.9970      1557.79         2.01              215.91
 C8         40.1945       -113.9870      1543.37         0.08              217.36
 C9         40.2174       -113.9901      1529.41         2.42              217.92
 C11        40.2881       -113.9884      1527.69         9.83              220.69
   A01         58.91            0.30           35.69            0.39           67.34          0.11
   A02         58.76            0.30           31.61            0.41           65.12          0.13
   A03         58.54            0.29           27.89            0.46           63.21          0.12
   A04         58.29            0.29           23.58            0.56           61.21          0.11
   A05         58.09            0.29           19.41            0.61           59.52          0.13
   A07         57.86            0.27            9.97            1.10           56.95          0.12
   A08         57.71            0.27            6.42            1.73           56.32          0.12
   A09         57.44            0.26            4.70            2.40           55.91          0.12
   A10         57.49            0.26            4.58            2.11           55.91          0.11
   A11         57.36            0.27            6.46            1.62           55.96          0.13
   A12         57.14            0.26            9.71            1.11           56.17          0.11
   A13         56.86            0.27           13.94            0.87           56.77          0.11
   A14         56.76            0.27           19.45            0.59           58.21          0.12
   A15         56.69            0.29           24.57            0.47           60.10          0.13
   A17         56.64            0.29           34.53            0.33           64.80          0.13
   A18         56.54            0.29           39.51            0.29           67.53          0.12
   A19         56.21            0.30           43.41            0.28           69.66          0.12
   A20         56.01            0.30           47.98            0.25           72.46          0.13
   A21         55.66            0.30           51.24            0.24           74.36          0.12
   A22         55.41            0.30           54.44            0.20           76.42          0.12
   T01         62.16            0.30            4.81            2.59           60.54          0.12
   T02         61.84            0.29            4.91            2.42           60.23          0.12
   T04         60.39            0.29            4.87            2.31           58.80          0.13
   T07         57.51            0.27            4.47            2.41           55.96          0.11
   T08         56.80            0.28            4.75            2.28           55.23          0.14
   T10         49.41            0.24            4.05            1.85           47.80          0.12
   T11         48.99            0.26            4.29            1.94           47.32          0.12
   T13         48.66            0.24            6.22            1.26           47.23          0.12
   T14         44.26            0.27            4.90            2.09           42.98          0.10
   C01         45.24            0.32           28.19            0.34           51.82          0.13
   C02         44.89            0.32           24.31            0.41           49.55          0.13
   C03         44.69            0.32           19.77            0.51           47.38          0.13
   C04         44.54            0.32           15.09            0.69           45.48          0.12
   C05         44.31            0.33           10.91            0.97           44.11          0.13
   C06         44.24            0.32            6.35            1.60           43.16          0.12
   C07         44.29            0.32            4.41            2.12           43.01          0.13
   C08         43.98            0.28            4.86            2.17           42.77          0.11
   C09         44.04            0.32            4.77            2.06           42.82          0.11
   C11         43.76            0.33           10.79            0.97           43.60          0.13
